name,power,attack_type,type,accuracy,pp,ignoreEvasion,ignoreDef,ignoreWeather,ignoreType,ignoreImmunity,ignoreBarrier,ignoreAbility,ignoreInvulnerability,targetAtk,inverseDef,DefAsAtk,multiType,interchangeType,charging,crit,priority,recoil,deduct,crash,multi,flags,custom,effect_type,special_effect,effect_accuracy,power_when,weather_when,fails_unless,remarks
Rock Polish,0,Status,Rock,9,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,0,0,2,0,0,0",1,,,,
Air Slash,75,Special,Flying,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Flinch,0.3,,,,
Amnesia,0,Status,Psychic,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,0,2,0,0,0,0",1,,,,
Anchor Shot,80,Physical,Steel,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Trapped,1,,,,
Spirit Shackle,80,Physical,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Trapped,1,,,,
Ancient Power,60,Special,Rock,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,1,1,1,1,1,0,0,0",0.1,,,,
Silver Wind,60,Special,Bug,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,1,1,1,1,1,0,0,0",0.1,,,,
Aqua Jet,40,Physical,Water,1,20,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,,
Aqua Tail,90,Physical,Water,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Aura Sphere,80,Special,Fighting,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",hi,,no_effect,,1,,,,
Aurora Veil,0,Status,Ice,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_team_buff,Aurora Veil,1,,,,
Avalanche,60,Physical,Ice,1,20,,,,,,,,,,,,,,,0,-4,0,0,0,"0,1",a,,after_hand,,1,,,,
Baton Pass,0,Status,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,switching,,1,,,,in code: hands its stat changes to the Pokemon coming in (Scripts/Battle/ai.py:652)
Belly Drum,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,0,0,0.5,0,"0,1",b,,self_modifier,"0,6,0,0,0,0,0,0,0",1,,,can_pay_hp_and_still_boost,
Bite,60,Physical,Dark,1,25,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_volatile,@Flinch,0.3,,,,
Blaze Kick,85,Physical,Fire,0.9,10,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,target_non_volatile,@Burn,0.1,,,,
Pyro Ball,120,Physical,Fire,0.9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ci,,target_non_volatile,@Burn,0.1,,,,
Blizzard,110,Special,Ice,0.7,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Freeze,0.1,,Hail:always_hits,,
Body Slam,80,Physical,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_non_volatile,@Paralysis,0.3,,,,
Icicle Crash,85,Physical,Ice,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Flinch,0.3,,,,
Bone Rush,25,Physical,Ground,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",,,no_effect,,1,,,,
Boomburst,140,Special,Normal,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,no_effect,,1,,,,
Relic Song,75,Special,Normal,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,target_non_volatile,@Sleep,0.1,,,,
Brave Bird,120,Physical,Flying,1,15,,,,,,,,,,,,,,,0,0,0.333333333,0,0,"0,1",a,,no_effect,,1,,,,
Brick Break,75,Physical,Fighting,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,remove_team_buff,,1,,,,
Bug Buzz,90,Special,Bug,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",0.1,,,,
Clanging Scales,110,Special,Dragon,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,self_modifier,"0,0,-1,0,0,0,0,0,0",1,,,,
Mystical Fire,75,Special,Fire,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",1,,,,
Shadow Bone,85,Physical,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,-1,0,0,0,0,0,0",0.2,,,,
Bulk Up,0,Status,Fighting,9,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,1,0,0,0,0,0,0",1,,,,
Bulldoze,60,Physical,Ground,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Icy Wind,55,Special,Ice,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Rock Tomb,60,Physical,Rock,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Bullet Punch,40,Physical,Steel,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",ae,,no_effect,,1,,,,
Mach Punch,40,Physical,Fighting,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",ae,,no_effect,,1,,,,
Bullet Seed,25,Physical,Grass,1,30,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",i,,no_effect,,1,,,,
Calm Mind,0,Status,Psychic,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,1,1,0,0,0,0",1,,,,
Charge Beam,50,Special,Electric,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,1,0,0,0,0,0",0.7,,,,
Charm,0,Status,Fairy,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,-2,0,0,0,0,0,0,0",1,,,,
Close Combat,120,Physical,Fighting,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,-1,0,-1,0,0,0,0",1,,,,
Coil,0,Status,Poison,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,1,0,0,0,0,1,0",1,,,,
Cold Touch,30,Physical,Ice,1,20,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",,Y,target_volatile,@Flinch,0.3,,,,
Confuse Ray,0,Status,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Confused,1,,,,
Sweet Kiss,0,Status,Fairy,0.75,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Confused,1,,,,
Cotton Spore,0,Status,Grass,1,40,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",g,,opponent_modifier,"0,0,0,0,0,-2,0,0,0",1,,,,
Counter,0,Status,Fighting,1,20,,,,,,,,,,,,,,,0,-5,0,0,0,"0,1",,,countering,,1,,,,in code: reads the target's last move (Scripts/Battle/move_additional_effect.py:381)
Crabhammer,100,Physical,Water,0.9,10,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Cross Chop,100,Physical,Fighting,0.8,5,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Cross Poison,70,Physical,Poison,1,15,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,target_non_volatile,@Poison,0.1,,,,
Crunch,80,Physical,Dark,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.2,,,,
Curse,0,Status,Ghost,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,cursing,"0,1,1,0,0,-1,0,0,0",1,,,,
Dark Pulse,80,Special,Dark,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",h,,target_volatile,@Flinch,0.2,,,,
Darkest Lariat,85,Physical,Dark,1,10,Y,Y,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Dazzling Gleam,80,Special,Fairy,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Defog,0,Status,Flying,9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,opponent_modifier|clear_entry_hazard,"0,0,0,0,0,0,-1,0,0|~",1,,,,in code: clears hazards and screens on both sides (Scripts/Battle/move_additional_effect.py:261)
Disable,0,Status,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_disable,Disable,1,,,,
Discharge,80,Special,Electric,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Paralysis,0.3,,,,
Double Hit,35,Physical,Normal,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",a,,no_effect,,1,,,,
Dual Wingbeat,40,Physical,Flying,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",a,,no_effect,,1,,,,
Bonemerang,50,Physical,Ground,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",,,no_effect,,1,,,,
Double Kick,30,Physical,Fighting,1,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",a,,no_effect,,1,,,,
Double-Edge,120,Physical,Normal,1,15,,,,,,,,,,,,,,,0,0,0.333333333,0,0,"0,1",a,,no_effect,,1,,,,
Draco Meteor,130,Special,Dragon,0.9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,-2,0,0,0,0,0",1,,,,
Overheat,130,Special,Fire,0.9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,-2,0,0,0,0,0",1,,,,
Dragon Claw,80,Physical,Dragon,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Bug Bite,60,Physical,Bug,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Mega Kick,120,Physical,Normal,0.75,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Dragon Pulse,85,Special,Dragon,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",h,,no_effect,,1,,,,
Dragon Dance,0,Status,Dragon,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,0,0,0,1,0,0,0",1,,,,
Breaking Swipe,60,Physical,Dragon,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Trop Kick,70,Physical,Grass,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Dragon Darts,50,Physical,Dragon,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",,,no_effect,,1,,,,
Dragon Hammer,90,Physical,Dragon,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Dragon Rush,100,Physical,Dragon,0.75,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Flinch,0.2,,,,
Drain Punch,75,Physical,Fighting,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,hp_draining,0.5,1,,,,
Draining Kiss,50,Special,Fairy,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,hp_draining,0.75,1,,,,
Drill Run,80,Physical,Ground,0.95,20,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Dual Chop,40,Physical,Dragon,0.9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",a,,no_effect,,1,,,,
Earth Power,90,Special,Ground,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.1,,,,
Scorching Sands,70,Special,Ground,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",c,,target_non_volatile,@Burn,0.3,,,,
Earthquake,100,Physical,Ground,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,in code: could be data: double power on a target underground (Scripts/Battle/battle_move_execution.py:134)
Ground Slam,100,Physical,Ground,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_volatile,@Confused,0.5,,,,
Electroweb,55,Special,Electric,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Electro Ball,40,Special,Electric,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,no_effect,,1,,,,in code: power from the speed ratio (Scripts/Battle/battle_move_execution.py:70)
Brine,65,Special,Water,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,target_below_half,,,
Hex,65,Special,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,target_statused,,,
Acupressure,0,Status,Normal,9,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,in code: raises one random stat by two (Scripts/Battle/battle_move_execution.py:73)
Facade,70,Physical,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,user_statused,,,
Venoshock,65,Special,Poison,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,target_poisoned,,,
Mud Shot,55,Special,Ground,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Mud-Slap,20,Special,Ground,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,0,0,-1,0",1,,,,
Encore,0,Status,Normal,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_disable,Encore,1,,,,
Endeavor,0,Status,Normal,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,hp_split,Same,1,,,,
Energy Ball,90,Special,Grass,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.1,,,,
Explosion,250,Physical,Normal,1,5,,,,,,,,,,,,,,,0,0,0,1,0,"0,1",,,no_effect,,1,,,,
Extrasensory,80,Special,Psychic,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Flinch,0.1,,,,
Extreme Speed,80,Physical,Normal,1,5,,,,,,,,,,,,,,,0,2,0,0,0,"0,1",a,,no_effect,,1,,,,
Fake Out,40,Physical,Normal,1,30,,,,,,,,,,,,,,,0,3,0,0,0,"0,1",ja,,target_volatile,@Flinch,1,,,,
Fake Tears,0,Status,Dark,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,-2,0,0,0,0",1,,,,
False Surrender,80,Physical,Dark,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Fiery Dance,80,Special,Fire,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,1,0,0,0,0,0",0.5,,,,
Fire Punch,75,Physical,Fire,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,,target_non_volatile,@Burn,0.1,,,,
Fire Spin,35,Special,Fire,0.85,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Binding,1,,,,
First Impression,90,Physical,Bug,1,10,,,,,,,,,,,,,,,0,2,0,0,0,"0,1",ja,,no_effect,,1,,,,
Flame Charge,50,Physical,Fire,1,25,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,0,0,0,1,0,0,0",1,,,,
Flame Wheel,60,Physical,Fire,1,25,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",ac,,target_non_volatile,@Burn,0.1,,,,
Flamethrower,90,Special,Fire,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Burn,0.1,,,,
Fire Blast,110,Special,Fire,0.85,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Burn,0.3,,,,
Flare Blitz,120,Physical,Fire,1,15,,,,,,,,,,,,,,,0,0,0.333333333,0,0,"0,1",ac,,target_non_volatile,@Burn,0.1,,,,
Flash Cannon,80,Special,Steel,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.1,,,,
Fly,90,Physical,Flying,0.95,15,,,,,,,,,,,,,,Semi-invulnerable,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Bounce,85,Physical,Flying,0.85,5,,,,,,,,,,,,,,Semi-invulnerable,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Dig,80,Physical,Ground,1,10,,,,,,,,,,,,,,Semi-invulnerable,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Flying Press,100,Physical,Fighting,0.95,10,,,,,,,,,,,,Flying,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Depraved Shriek,100,Special,Dark,1,5,,,,,,,,,,,,Psychic,,,0,0,0,0,0,"0,1",f,Y,before_hand,,1,,,,
Focus Blast,120,Special,Fighting,0.7,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.1,,,,
Focus Energy,0,Status,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,0,0,0,0,0,2",1,,,,
Force Palm,60,Physical,Fighting,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_non_volatile,@Paralysis,0.3,,,,
Foul Play,95,Physical,Dark,1,15,,,,,,,,,Y,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Freeze-Dry,70,Special,Ice,1,20,,,,Water,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Freeze,0.1,,,,
Corrosive Water,80,Special,Water,0.9,10,,,,"Grass,Fairy",,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_non_volatile,@Poison,0.2,,,,
Giga Drain,75,Special,Grass,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,hp_draining,0.5,1,,,,
Dream Eater,100,Special,Psychic,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,hp_draining,0.5,1,,,target_asleep,in code: the AI weighs it specially (the rule itself is data) (Scripts/Battle/ai.py:560)
Glaciate,80,Special,Ice,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Glare,0,Status,Normal,1,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Paralysis,1,,,,
Growl,0,Status,Normal,1,40,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Baby-Doll Eyes,0,Status,Fairy,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Gunk Shot,120,Physical,Poison,0.8,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Poison,0.3,,,,
Gust,40,Special,Flying,1,35,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Hail,0,Status,Ice,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,weather_effect,Hail,1,,,,
Hammer Arm,100,Physical,Fighting,0.9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Ice Hammer,100,Physical,Ice,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Head Smash,150,Physical,Rock,0.8,5,,,,,,,,,,,,,,,0,0,0.5,0,0,"0,1",a,,no_effect,,1,,,,
Heat Wave,95,Special,Fire,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Burn,0.1,,,,
High Horsepower,95,Physical,Ground,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
High Jump Kick,130,Physical,Fighting,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0.5,"0,1",a,,no_effect,,1,,,,
Hone Claws,0,Status,Dark,9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,0,0,0,0,0,1,0",1,,,,
Hydro Pump,110,Special,Water,0.8,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Hypnosis,0,Status,Psychic,0.6,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Sleep,1,,,,
Leech Seed,0,Status,Grass,0.9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",g,,target_volatile,@LeechSeed,1,,,,
Ingrain,0,Status,Grass,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,user_volatile|user_volatile|user_volatile,@Ingrain|@Trapped|@Grounded,1,,,,
Aqua Ring,0,Status,Water,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,user_volatile,@AquaRing,1,,,,
Dark Void,0,Status,Dark,0.7,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Sleep,1,,,,
Ice Beam,90,Special,Ice,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Freeze,0.1,,,,
Ice Punch,75,Physical,Ice,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,,target_non_volatile,@Freeze,0.1,,,,
Ice Fang,65,Physical,Ice,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_non_volatile|target_volatile,@Freeze|@Flinch,0.1,,,,
Thunder Fang,65,Physical,Electric,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_non_volatile|target_volatile,@Paralysis|@Flinch,0.1,,,,
Fire Fang,65,Physical,Fire,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_non_volatile|target_volatile,@Burn|@Flinch,0.1,,,,
Ice Shard,40,Physical,Ice,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,,
Icicle Spear,25,Physical,Ice,1,30,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",,,no_effect,,1,,,,
Iron Defense,0,Status,Steel,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,2,0,0,0,0,0,0",1,,,,
Cotton Guard,0,Status,Grass,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,3,0,0,0,0,0,0",1,,,,
Iron Head,80,Physical,Steel,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Flinch,0.3,,,,
Steel Wing,70,Physical,Steel,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,1,0,0,0,0,0,0",0.1,,,,
Meteor Mash,90,Physical,Steel,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,1,0,0,0,0,0,0,0",0.2,,,,
Iron Tail,100,Physical,Steel,0.75,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,0,-1,0,0,0,0,0,0",0.3,,,,
Jaw Lock,80,Physical,Dark,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_volatile,@Trapped,1,,,,
Jump Kick,100,Physical,Fighting,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0.5,"0,1",a,,no_effect,,1,,,,
Karate Chop,50,Physical,Fighting,1,25,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Leaf Blade,90,Physical,Grass,1,10,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
