ID,Name,Type1,Type2,Type3,Ability,SAbility,HP,Atk,Def,SpA,SpDef,Spd,Total,Move1,Move2,Move3,Move4,Move5,Move6,Tier,Custom
15,Dedenne,Electric,Fairy,,Static,,67,58,57,81,67,101,431,Nuzzle,Parabolic Charge,Discharge,Charm,Dazzling Gleam,Double Team,Very Low,N
16,Carnivine,Grass,,,Levitate,,74,100,72,90,72,46,454,Bullet Seed,Power Whip,Sleep Powder,Leech Life,Crunch,,Very Low,N
17,Primeape,Fighting,,,Anger Point,Defiant,65,105,60,60,70,95,455,Cross Chop,Sunny Day,Double Team,Thrash,Focus Energy,,Very Low,N
18,Jumpluff,Grass,Flying,,Chlorophyll,,75,55,70,55,95,110,460,Giga Drain,Memento,Dazzling Gleam,U-Turn,Cotton Guard,,Very Low,N
19,Maractus,Grass,,,Storm Drain,Water Absorb,75,86,67,106,67,60,461,Leech Seed,Sucker Punch,Cotton Spore,Petal Dance,Acupressure,,Very Low,N
20,Garbodor,Poison,,,Weak Armor,Aftermath,80,95,82,60,82,75,474,Gunk Shot,Body Slam,Toxic,Amnesia,Toxic Spikes,,Very Low,N
21,Snowchild,Normal,Ice,,Ice Body,Own Tempo,45,65,65,80,65,70,390,Icy Wind,Sing,Torment,Haze,Hyper Voice,Dig,Very Low,Y
22,Shedinja,Bug,Ghost,,Wonder Guard,,1,90,45,30,30,40,236,Shadow Sneak,Leech Life,Agility,Swords Dance,Sucker Punch,,Low,N
23,Sudowoodo,Rock,,,Sturdy,Rock Head,70,100,115,30,65,30,410,Tearful Look,Hammer Arm,Wood Hammer,Sucker Punch,Head Smash,Double-Edge,Low,N
24,Medicham,Psychic,Fighting,,Pure Power,,60,60,75,60,75,80,410,Zen Headbutt,Recover,Counter,High Jump Kick,Brick Break,Bulk Up,Low,N
25,Bibarel,Normal,Water,,Simple,Moody,79,85,60,55,60,71,410,Aqua Jet,Yawn,Curse,Stealth Rock,Waterfall,Skull Bash,Low,N
26,Perrserker,Steel,,,Tough Claws,,70,110,100,50,60,50,440,Fake Out,Throat Chop,Screech,Iron Head,Seed Bomb,,Low,N
27,Noctowl,Normal,Flying,,Tinted Lens,Keen Eye,100,50,50,86,96,70,452,Moonblast,Hypnosis,Dream Eater,Air Slash,Reflect,Extrasensory,Low,N
28,Chimecho,Psychic,,,Levitate,,75,50,80,95,90,65,455,Hypnosis,Heal Bell,Extrasensory,Take Down,Charge Beam,Disable,Low,N
29,Breloom,Grass,Fighting,,Effect Spore,Technician,60,130,80,60,60,70,460,Mach Punch,Spore,Seed Bomb,Feint,Force Palm,,Low,N
30,Ribombee,Bug,Fairy,,Shield Dust,Sweet Veil,60,55,60,95,70,124,464,Pollen Puff,Moonblast,Quiver Dance,Sticky Web,Calm Mind,,Low,N
31,Torkoal,Fire,,,White Smoke,Drought,70,85,140,85,70,20,470,Heat Wave,Amnesia,Solar Beam,Curse,Rapid Spin,,Low,N
32,Stunfisk,Ground,Electric,,Static,Limber,109,66,84,81,99,32,471,Sucker Punch,Mud Shot,Muddy Water,Discharge,Sludge Bomb,,Low,N
33,Trevenant,Ghost,Grass,,Natural Cure,,85,110,76,65,82,56,474,Trick Room,Forest's Curse,Destiny Bond,Phantom Force,Wood Hammer,Disable,Low,N
34,Kingler,Water,,,Hyper Cutter,Sheer Force,55,130,115,50,50,75,475,Agility,Crabhammer,Razor Shell,Rock Slide,Slash,,Low,N
35,Sawsbuck,Normal,Grass,,Sap Sipper,Serene Grace,80,100,70,60,70,95,475,Horn Leech,Energy Ball,Shadow Ball,Jump Kick,Charm,Wild Charge,Low,N
36,Crabominable,Ice,Fighting,,Anger Point,Iron Fist,97,132,77,62,67,43,478,Ice Hammer,Power-Up Punch,Stone Edge,Dual Chop,Zen Headbutt,,Low,N
37,Glalie,Ice,,,Moody,,80,80,80,80,80,80,480,Freeze-Dry,Frost Breath,Body Slam,Disable,Shadow Ball,,Low,N
38,Froslass,Ice,Ghost,,Snow Cloak,Cursed Body,70,80,70,80,70,110,480,Hail,Blizzard,Aurora Veil,Destiny Bond,Shadow Ball,,Low,N
39,Grapploct,Fighting,,,Limber,Technician,80,118,90,70,80,42,480,Octolock,Feint,Revenge,Payback,Octazooka,Whirlpool,Low,N
40,Palossand,Ghost,Ground,,Water Compaction,Sand Veil,85,75,110,100,75,35,480,Giga Drain,Earth Power,Shadow Ball,Destiny Bond,Brine,Sludge Bomb,Low,N
41,Shiftry,Grass,Dark,,Chlorophyll,Early Bird,90,100,60,90,60,80,480,Fake Out,Sucker Punch,Swords Dance,Seed Bomb,Explosion,Rock Slide,Low,N
42,Whimsicott,Grass,Fairy,,Prankster,Infiltrator,60,67,85,77,75,116,480,Tailwind,Moonblast,Memento,Sunny Day,Light Screen,,Low,N
43,Crustle,Bug,Rock,,Sturdy,Shell Armor,70,105,125,65,75,45,485,Stealth Rock,Shell Smash,Sand Tomb,X-Scissor,Stone Edge,Spikes,Low,N
44,Spiritomb,Dark,Ghost,,Pressure,,50,92,108,92,108,35,485,Shadow Ball,Pain Split,Hypnosis,Dream Eater,Sucker Punch,Memento,Low,N
45,Relicanth,Water,Rock,,Swift Swim,Rock Head,100,90,130,45,65,55,485,Yawn,Dive,Ancient Power,Skull Bash,Rock Polish,,Low,N
46,Turtonator,Fire,Dragon,,Shell Armor,,60,78,135,91,85,36,485,Shell Trap,Dragon Pulse,Flamethrower,Shell Smash,Explosion,Body Slam,Low,N
47,Appletun,Grass,Dragon,,Thick Fat,,110,85,80,100,80,30,485,Apple Acid,Dragon Pulse,Curse,Reflect,Light Screen,,Low,N
48,Ferrothorn,Grass,Steel,,Iron Barbs,,74,94,131,54,116,20,489,Stealth Rock,Thunder Wave,Leech Seed,Spikes,Explosion,,Low,N
49,Altaria,Dragon,Flying,,Natural Cure,Cloud Nine,75,70,90,70,105,80,490,Dragon Pulse,Hurricane,Cotton Guard,Perish Song,Heal Bell,,Low,N
50,Galarian Weezing,Poison,Fairy,,Levitate,,65,90,120,85,70,60,490,Strange Steam,Clear Smog,Explosion,Sludge Bomb,Heat Wave,,Low,N
51,Abomasnow,Grass,Ice,,Snow Warning,Soundproof,90,92,75,92,85,60,494,Aurora Veil,Blizzard,Wood Hammer,Leech Seed,Water Pulse,Ice Shard,Low,N
52,Corviknight,Steel,Flying,,Pressure,Infiltrator,98,87,105,53,85,67,495,Iron Defense,Power Trip,Hone Claws,Taunt,Brave Bird,,Low,N
53,Bastiodon,Rock,Steel,,Soundproof,,60,52,168,47,138,30,495,Metal Burst,Taunt,Body Slam,Counter,Swagger,,Low,N
54,Rampardos,Rock,,,Mold Breaker,Sheer Force,97,165,60,65,50,58,495,Head Smash,Zen Headbutt,Rock Polish,Endeavor,Curse,Iron Head,Low,N
55,Donphan,Ground,,,Sturdy,Sand Veil,90,120,120,60,60,50,500,Bulldoze,Rock Tomb,Counter,Focus Energy,Ice Shard,,Low,N
56,Bronzong,Steel,Psychic,,Levitate,Heatproof,67,89,116,79,116,33,500,Trick Room,Hypnosis,Psychic,Light Screen,Reflect,Flash Cannon,Low,N
57,Claydol,Ground,Psychic,,Levitate,,60,70,105,70,120,75,500,Earth Power,Psyshock,Explosion,Reflect,Light Screen,Trick Room,Low,N
58,Alakazam,Psychic,,,Synchronize,Magic Guard,55,50,45,135,95,120,500,Psyshock,Nasty Plot,Recover,Trick Room,Psychic Terrain,Dazzling Gleam,Low,N
59,Beartic,Ice,,,Snow Cloak,Slush Rush,95,130,80,70,80,50,505,Icicle Crash,Superpower,Slash,Hail,Avalanche,,Low,N
60,Orbeetle,Bug,Psychic,,Swarm,,60,45,110,80,120,90,505,Struggle Bug,Light Screen,Reflect,Psychic,Sticky Web,Solar Beam,Low,N
61,Sandaconda,Ground,,,Sand Spit,Shed Skin,72,107,125,65,70,71,510,Glare,Coil,Sand Tomb,Rock Slide,Stealth Rock,Poison Tail,Low,N
62,Zoroark,Dark,,,Illusion,,60,105,60,120,60,105,510,Night Daze,,U-Turn,Torment,Foul Play,,Low,N
63,Mr.Rime,Ice,Psychic,,Ice Body,Screen Cleaner,80,85,75,110,100,70,520,Reflect,Dazzling Gleam,Freeze-Dry,Psychic,Light Screen,Encore,Low,N
64,Luxray,Electric,,,Intimidate,Guts,80,120,79,95,79,70,523,Wild Charge,Facade,Ice Fang,Crunch,Volt Switch,,Low,N
65,Dusknoir,Ghost,,,Pressure,,45,100,135,65,135,45,525,Trick Room,Destiny Bond,Shadow Sneak,Mean Look,Curse,Protect,Low,N
66,Probopass,Rock,Steel,,Sand Force,Sturdy,60,55,145,75,150,40,525,Sandstorm,Tri Attack,Spark,Lock-On,Zap Cannon,Power Gem,Low,N
67,Umbreon,Dark,,,Synchronize,,95,65,110,60,130,65,525,Foul Play,Curse,Yawn,Confuse Ray,Payback,Facade,Low,N
68,Alolan Exeggutor,Grass,Dragon,,Long Reach,,95,105,85,125,75,45,530,Dragon Hammer,Trick Room,Hypnosis,Leech Seed,Reflect,,Low,N
69,Kuroseh,Fighting,Fairy,,Vital Spirit,Iron Fist,60,76,64,76,64,108,448,Sparkling Punch,Thunder Punch,Karate Chop,Fire Punch,Aura Sphere,Protect,Low,Y
70,Twinktwin,Bug,Fairy,,Shield Dust,Limber,60,40,45,100,90,133,468,Sweet Dreams,Struggle Bug,Lovely Kiss,Vacuum Wave,Gust,Mirror Coat,Low,Y
71,Azumarill,Water,Fairy,,Sap Sipper,Huge Power,100,50,80,60,80,50,420,Belly Drum,Aqua Jet,Superpower,Play Rough,Bulldoze,,Medium,N
72,Diggersby,Normal,Ground,,Huge Power,,85,56,77,50,77,78,423,Dig,Bounce,U-Turn,Mud Shot,Surf,Ice Punch,Medium,N
73,Alolan Marowak,Fire,Ghost,,Cursed Body,Lightning Rod,60,80,110,50,80,45,425,Shadow Bone,Bonemerang,Flare Blitz,Double Kick,Bone Rush,Skull Bash,Medium,N
74,Pelipper,Water,Flying,,Drizzle,,60,50,100,95,70,65,440,Hurricane,Tailwind,Ice Beam,Scald,Mud-Slap,,Medium,N
75,Alolan Sandslash,Ice,Steel,,Snow Cloak,Slush Rush,75,100,120,25,65,65,450,Icicle Crash,Iron Head,Hail,Triple Axel,Counter,,Medium,N
76,Masquerain,Bug,Flying,,Intimidate,,70,60,62,100,82,80,454,Quiver Dance,Bug Buzz,Air Slash,Giga Drain,Scald,Defog,Medium,N
77,Araquanid,Water,Bug,,Water Bubble,,68,70,92,50,132,42,454,Lunge,Liquidation,Sticky Web,Reflect,Light Screen,Crunch,Medium,N
78,Amoonguss,Grass,Poison,,Effect Spore,Regenerator,114,85,70,85,80,30,464,Spore,Toxic,Synthesis,First Impression,Giga Drain,Sludge Bomb,Medium,N
79,Klefki,Steel,Fairy,,Prankster,,57,80,91,80,87,75,470,Play Rough,Reflect,Light Screen,Toxic,Protect,Foul Play,Medium,N
80,Cinccino,Normal,,,Technician,Skill Link,75,95,60,65,60,115,470,Rock Blast,Triple Axel,Bullet Seed,Tail Slap,Encore,,Medium,N
81,Frosmoth,Ice,Bug,,Ice Scales,,70,65,60,125,90,65,475,Bug Buzz,Quiver Dance,Ice Beam,Hurricane,Giga Drain,,Medium,N
82,Ludicolo,Water,Grass,,Swift Swim,,80,70,70,90,100,70,480,Rain Dance,Fake Out,Energy Ball,Scald,Ice Beam,,Medium,N
83,Jellicent,Water,Ghost,,Water Absorb,Cursed Body,100,60,70,85,105,60,480,Giga Drain,Hydro Pump,Destiny Bond,Will-O-Wisp,Hex,Shadow Ball,Medium,N
84,Heliolisk,Electric,Normal,,Sand Veil,,62,55,52,109,94,109,481,Parabolic Charge,Thunder Wave,Surf,Swift,Quick Attack,,Medium,N
85,Ambipom,Normal,,,Technician,Skill Link,75,100,66,60,66,115,482,Double Hit,Dual Chop,Tickle,Aerial Ace,Fake Out,,Medium,N
86,Cofagrigus,Ghost,,,Mummy,,58,50,145,95,105,30,483,Destiny Bond,Trick Room,Will-O-Wisp,Hex,Calm Mind,Shadow Ball,Medium,N
87,Durant,Bug,Steel,,Swarm,Hustle,58,109,112,48,48,109,484,Hone Claws,Stone Edge,X-Scissor,Iron Head,Superpower,,Medium,N
88,Drampa,Normal,Dragon,,Berserk,Cloud Nine,78,60,85,135,91,36,485,Hyper Voice,Draco Meteor,Fire Blast,Calm Mind,Extrasensory,Hurricane,Medium,N
89,Drednaw,Water,Rock,,Strong Jaw,Swift Swim,90,115,90,48,68,74,485,Liquidation,Jaw Lock,Rock Polish,Smart Strike,Ice Fang,Stone Edge,Medium,N
90,Alolan Raichu,Electric,Psychic,,Surge Surfer,,60,85,50,95,85,110,485,Thunderbolt,Fake Out,Encore,Electric Terrain,Volt Switch,Surf,Medium,N
91,Lycanroc (Midnight),Rock,,,Vital Spirit,No Guard,85,115,75,55,75,82,487,Scary Face,Play Rough,Bulk Up,Stone Edge,Thunder Fang,Iron Tail,Medium,N
92,Scrafty,Dark,Fighting,,Moxie,Intimidate,65,90,115,45,115,58,488,High Jump Kick,Stone Edge,Swagger,Scary Face,Iron Head,Throat Chop,Medium,N
93,Kangaskhan,Normal,,,Early Bird,Scrappy,105,95,80,40,80,90,490,Outrage,Sucker Punch,Fake Out,Mega Kick,Body Slam,Drain Punch,Medium,N
94,Slowbro,Water,Psychic,,Regenerator,Own Tempo,95,75,110,100,80,30,490,Ice Beam,Trick Room,Psychic,Scald,Metronome,Calm Mind,Medium,N
95,Boltund,Electric,,,Strong Jaw,Competitive,69,90,60,90,60,121,490,Bite,Thunder Fang,Fire Fang,Psychic Fangs,Nuzzle,,Medium,N
96,Tauros,Normal,,,Intimidate,Anger Point,75,100,95,40,70,110,490,Double-Edge,Zen Headbutt,Iron Tail,Rock Climb,Swagger,,Medium,N
97,Sigilyph,Psychic,Flying,,Tinted Lens,Magic Guard,72,58,80,103,80,97,490,Hypnosis,Light Screen,Reflect,Air Slash,Psychic,Tailwind,Medium,N
98,Dragalge,Poison,Dragon,,Poison Point,Adaptability,65,75,90,97,123,44,494,Sludge Bomb,Hydro Pump,Draco Meteor,Thunder,Toxic,,Medium,N
99,Cradily,Rock,Grass,,Storm Drain,,86,81,97,81,107,43,495,Leech Seed,Brine,Giga Drain,Ancient Power,Ingrain,Confuse Ray,Medium,N
100,Toxapex,Poison,Water,,Limber,Regenerator,50,63,152,53,142,35,495,Baneful Bunker,Venoshock,Toxic Spikes,Liquidation,Toxic,Hex,Medium,N
101,Talonflame,Fire,Flying,,Flame Body,Gale Wings,78,81,71,74,69,126,499,Flare Blitz,Brave Bird,U-Turn,Defog,,,Medium,N
102,Mudsdale,Ground,,,Stamina,,100,125,100,55,85,35,500,High Horsepower,Revenge,Stealth Rock,Smack Down,Strength,,Medium,N
103,Galarian Rapidash,Psychic,Fairy,,Anticipation,,65,100,70,80,80,105,500,Megahorn,Play Rough,Psycho Cut,Drill Run,,,Medium,N
104,Hawlucha,Fighting,Flying,,Mold Breaker,Limber,78,92,75,74,63,118,500,Hone Claws,Flying Press,High Jump Kick,Encore,Dual Wingbeat,Rock Slide,Medium,N
105,Heracross,Bug,Fighting,,Moxie,Skill Link,80,125,75,40,95,85,500,Pin Missile,Throat Chop,Close Combat,Rock Blast,Swords Dance,,Medium,N
106,Gliscor,Ground,Flying,,Hyper Cutter,Sand Veil,75,95,125,45,75,95,510,Stone Edge,Earthquake,Swords Dance,Baton Pass,X-Scissor,Quick Attack,Medium,N
107,Mienshao,Fighting,,,Reckless,Regenerator,65,125,60,95,60,105,510,Fake Out,High Jump Kick,Hone Claws,Poison Jab,Feint,Rock Tomb,Medium,N
108,Weavile,Dark,Ice,,Pressure,,70,120,65,45,85,125,510,Throat Chop,Fake Out,Icicle Crash,Swords Dance,Brick Break,Triple Axel,Medium,N
109,Ampharos,Electric,,,Static,Mold Breaker,90,75,85,115,90,55,510,Power Gem,Discharge,Light Screen,Dragon Pulse,Confuse Ray,Thunder Wave,Medium,N
110,Avalugg,Ice,,,Own Tempo,Ice Body,95,117,184,44,46,28,514,Avalanche,Recover,Rapid Spin,Aurora Veil,Body Press,,Medium,N
111,Gigalith,Rock,,,Sand Stream,,85,135,130,60,80,25,515,Stone Edge,Stealth Rock,Sand Tomb,Superpower,Curse,,Medium,N
112,Dhelmise,Grass,Ghost,,Steelworker,,70,131,100,86,90,40,517,Anchor Shot,Phantom Force,Power Whip,Rapid Spin,Swords Dance,Pain Split,Medium,N
113,Gardevoir,Psychic,Fairy,,Synchronize,Trace,68,65,65,125,115,80,518,Moonblast,Psychic,Calm Mind,Mystical Fire,Shadow Ball,,Medium,N
114,Krookodile,Ground,Dark,,Moxie,Anger Point,95,117,80,65,70,92,519,Crunch,Earthquake,Low Sweep,Fire Fang,Iron Tail,Counter,Medium,N
115,Flygon,Ground,Dragon,,Levitate,,80,100,80,80,80,100,520,Outrage,Earthquake,Fire Punch,U-Turn,Throat Chop,Defog,Medium,N
116,Chandelure,Fire,Ghost,,Flash Fire,Infiltrator,60,55,90,145,90,80,520,Shadow Ball,Flamethrower,Memento,Energy Ball,Psychic,Calm Mind,Medium,N
117,Aurorus,Rock,Ice,,Refrigerate,Snow Warning,123,77,72,99,92,58,521,Blizzard,Freeze-Dry,Ancient Power,Encore,Earth Power,,Medium,N
118,Tyrantrum,Rock,Dragon,,Strong Jaw,Rock Head,82,121,119,69,59,71,521,Head Smash,Earthquake,Breaking Swipe,Dragon Dance,Iron Head,Play Rough,Medium,N
119,Torterra,Grass,Ground,,Shell Armor,,95,109,105,75,85,56,525,Wood Hammer,Earthquake,Outrage,Iron Head,,,Medium,N
120,Hippowdon,Ground,,,Sand Stream,,108,112,118,68,72,47,525,Earthquake,Yawn,Curse,Stealth Rock,Stone Edge,,Medium,N
121,Centiskorch,Fire,Bug,,Flash Fire,Flame Body,100,115,65,90,90,65,525,Fire Lash,Lunge,Coil,Power Whip,Crunch,,Medium,N
122,Venusaur,Grass,Poison,,Overgrow,,80,82,83,100,100,80,525,Petal Blizzard,Sleep Powder,Leech Seed,Toxic,Sludge Bomb,,Medium,N
123,Glimmora,Rock,Poison,,Toxic Debris,,83,55,90,130,81,86,525,Power Gem,Sludge Wave,Stealth Rock,Earth Power,Energy Ball,Memento,Medium,N
124,Blastoise,Water,,,Rain Dish,Mega Launcher,79,83,100,85,105,78,530,Shell Smash,Dark Pulse,Hydro Pump,Aura Sphere,Flip Turn,,Medium,N
125,Sceptile,Grass,,,Lightning Rod,,70,85,65,105,85,120,530,Leaf Blade,Leaf Storm,Grassy Terrain,Drain Punch,Throat Chop,,Medium,N
126,Empoleon,Water,Steel,,Defiant,Torrent,84,86,88,111,101,60,530,Aqua Jet,Brine,Icy Wind,Scald,Aqua Ring,,Medium,N
127,Delphox,Fire,Psychic,,Blaze,,75,69,72,114,100,104,534,Shadow Ball,Mystical Fire,Psychic,Hypnosis,Encore,,Medium,N
128,Lapras,Water,Ice,,Water Absorb,Hydration,130,85,80,85,95,60,535,Perish Song,Brine,Whirlpool,Ice Beam,,,Medium,N
129,Crobat,Poison,Flying,,Inner Focus,Infiltrator,85,90,80,70,80,130,535,Air Slash,Dark Pulse,Heat Wave,Sludge Bomb,Nasty Plot,Haze,Medium,N
130,Rhyperior,Ground,Rock,,Reckless,Solid Rock,115,140,130,55,55,40,535,Earthquake,Stone Edge,Megahorn,Hammer Arm,Scary Face,,Medium,N
131,Noivern,Dragon,Flying,,Infiltrator,,85,70,80,97,80,123,535,Dragon Pulse,Tailwind,Boomburst,Air Slash,Flamethrower,Draco Meteor,Medium,N
132,Duraludon,Steel,Dragon,,Sand Force,,70,95,115,120,50,85,535,Dark Pulse,Draco Meteor,Flash Cannon,Thunderbolt,Snore,Reflect,Medium,N
133,Snorlax,Normal,,,Thick Fat,,160,110,65,65,110,30,540,Yawn,High Horsepower,Belly Drum,Hammer Arm,Double-Edge,Darkest Lariat,Medium,N
134,Harshock,Rock,Ghost,,Levitate,Pressure,64,72,72,104,104,78,494,Power Gem,Phantom Force,Disable,Stealth Rock,Metal Sound,,Medium,Y
135,Landozer,Fighting,Ground,,Sheer Force,Arena Trap,85,115,100,75,60,60,495,Ground Slam,Jump Kick,Bulk Up,Power-Up Punch,Bulldoze,,Medium,Y
136,Voltamelon,Grass,Electric,,Volt Absorb,Skill Link,84,78,132,78,64,72,508,Bullet Seed,Spark,Fluid Spray,U-Turn,Leech Seed,,Medium,Y
137,Apoptoxitic,Poison,Flying,,Poisonous Blow,,90,100,60,100,100,60,510,Defog,Coil,Corrosive Water,Poison Fang,Brave Bird,,Medium,Y
138,Emmount,Ground,Rock,,Formation,,123,102,113,58,67,53,516,Rock Slide,Earthquake,Wood Hammer,Boulder Smash,,,Medium,Y
139,Krusadian Flygon,Bug,Dragon,,Infiltrator,Swarm,60,120,80,70,80,110,520,First Impression,Lunge,Dragon Rush,Acupressure,Defog,,Medium,Y
140,Galveon,Steel,,,Materialize,Bulletproof,105,110,130,60,60,60,525,Double-Edge,Iron Defense,Noble Roar,Metal Burst,U-Turn,,Medium,Y
141,Galvantula,Electric,Bug,,Compound Eyes,,70,77,60,97,60,108,472,Thunderbolt,Electroweb,Bug Buzz,Sticky Web,,,High,N
142,Bruxish,Water,Psychic,,Dazzling,Strong Jaw,68,105,70,70,70,92,475,Psychic Fangs,Crunch,Waterfall,Ice Fang,Reflect,,High,N
143,Mimikyu,Ghost,Fairy,,Disguise,,55,90,80,50,105,96,476,Play Rough,Shadow Sneak,Wood Hammer,Swords Dance,Pain Split,Destiny Bond,High,N
144,Espathra,Psychic,,,Speed Boost,,95,60,60,101,60,105,481,Lumina Crash,Calm Mind,Dazzling Gleam,Flash Cannon,Energy Ball,,High,N
145,Bisharp,Dark,Steel,,Defiant,Inner Focus,65,125,100,60,70,70,490,Metal Burst,Night Slash,Iron Head,Slash,Thunder Wave,Foul Play,High,N
146,Barraskewda,Water,,,Swift Swim,,61,123,60,60,50,136,490,Liquidation,Close Combat,Poison Jab,Drill Run,Psychic Fangs,Flip Turn,High,N
147,Copperajah,Steel,,,Sheer Force,,122,130,69,80,69,30,500,Iron Head,Play Rough,Earthquake,Superpower,Iron Defense,,High,N
148,Bewear,Normal,Fighting,,Fluffy,,120,125,80,55,60,60,500,Thrash,Revenge,Baby-Doll Eyes,Payback,Pain Split,,High,N
149,Aegislash (Shield Forme),Steel,Ghost,,Stance Change,,60,50,140,50,140,60,500,King's Shield,Swords Dance,Shadow Sneak,Iron Head,Sacred Sword,,High,N
150,Gengar,Ghost,Poison,,Cursed Body,Levitate,60,65,60,130,75,110,500,Shadow Ball,Destiny Bond,Curse,Thunderbolt,Energy Ball,Sludge Wave,High,N
151,Drapion,Poison,Dark,,Sniper,,70,90,110,60,75,95,500,Night Slash,Cross Poison,Fell Stinger,Acupressure,Leech Life,Ice Fang,High,N
152,Clawitzer,Water,,,Mega Launcher,,71,73,88,120,89,59,500,Aura Sphere,Sludge Bomb,Dark Pulse,Water Pulse,Ice Beam,Dragon Pulse,High,N
153,Vikavolt,Bug,Electric,,Levitate,,77,70,90,145,75,43,500,Bug Buzz,Thunderbolt,Sticky Web,Light Screen,Agility,Air Slash,High,N
154,Scizor,Bug,Steel,,Technician,,70,130,100,55,80,65,500,Bullet Punch,Dual Wingbeat,Swords Dance,Bug Bite,Superpower,,High,N
155,Revavroom,Steel,Ghost,,Filter,,80,119,90,54,67,90,500,Iron Head,Shift Gear,Gunk Shot,Toxic Spikes,High Horsepower,,High,N
156,Toxtricity,Poison,Electric,,Punk Rock,,75,98,70,114,70,75,502,Boomburst,Overdrive,Sludge Wave,Volt Switch,Snarl,Shift Gear,High,N
157,Dracovish,Water,Dragon,,Strong Jaw,Water Absorb,90,90,100,70,80,75,505,Fishious Rend,Dragon Rush,Psychic Fangs,Iron Head,Bulldoze,,High,N
158,Machamp,Fighting,,,No Guard,Guts,90,130,80,65,85,55,505,Dynamic Punch,Bulk Up,Mach Punch,Earthquake,Darkest Lariat,Counter,High,N
159,Nidoking,Ground,Poison,,Poison Point,Sheer Force,81,102,77,85,75,85,505,Poison Jab,Megahorn,Head Smash,Sucker Punch,Earthquake,Avalanche,High,N
160,Nidoqueen,Ground,Poison,,Poison Point,Sheer Force,90,92,87,75,85,76,505,Venoshock,Toxic Spikes,Earth Power,Flamethrower,Surf,Thunderbolt,High,N
161,Ninetales,Fire,,,Flash Fire,Drought,73,76,75,81,100,100,505,Nasty Plot,Fire Blast,Disable,Solar Beam,Psyshock,,High,N
162,Alolan Ninetales,Ice,Fairy,,Snow Cloak,Snow Warning,73,67,75,81,100,109,505,Dazzling Gleam,Aurora Veil,Blizzard,Nasty Plot,Psyshock,,High,N
163,Honchkrow,Dark,Flying,,Super Luck,Moxie,100,125,52,105,52,71,505,Night Slash,Brave Bird,Superpower,Tailwind,Sucker Punch,,High,N
164,Tinkaton,Fairy,Steel,,Own Tempo,Mold Breaker,85,75,77,70,105,94,506,Gigaton Hammer,Wood Hammer,Ice Hammer,Fake Out,Foul Play,Play Rough,High,N
165,Pyroar,Fire,Normal,,Moxie,,86,68,72,109,66,106,507,Overheat,Hyper Voice,Noble Roar,Dark Pulse,Yawn,,High,N
166,Excadrill,Ground,Steel,,Mold Breaker,,110,135,60,50,65,88,508,Earthquake,Swords Dance,Rock Slide,Submission,Skull Bash,Iron Head,High,N
167,Overqwil,Dark,Poison,,Poison Point,Intimidate,85,115,95,65,65,85,510,Barb Barrage,Crunch,Destiny Bond,Waterfall,Aqua Jet,Toxic Spikes,High,N
