ID,Name,Strength,Desc,Level,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6,Music,Ace Music,Color,Quote
36,Misty,90,"Misty is the Gym Leader of Cerulean City's Gym. She is once specialized in Water-type Pokemon.
She got bored of her Gym Leader life and decided to take a break to look for Ash Ketchum,
thereby participating in the World Pokemon Championship.",Advanced,Starmie,,,,,,music/advanced.mp3,music/ace.mp3,,Sometimes I look at that Psyduck's face and I get a headache.
37,Lance,93,"Lance is a Dragon-type Trainer, a member of the Indigo Elite Four, and later the
Champion of the Indigo Plateau. He is known for using 3 Dragonite in the
Champion battle.",Advanced,Dragonite,,,,,,music/advanced.mp3,music/ace.mp3,,So you think you can defeat a dragon trainer? En garde.
38,Makise Kurisu,96,"Kurisu Makise is the daughter of Shouichi Makise, a genius girl who graduated from university at the age of seventeen,
and a member of the Brain Science Institute at Viktor Chondria University and the Future Gadget Lab.",Advanced,Tsareena,,,,,,music/advanced.mp3,music/ace.mp3,,I don't want to deny who I've been. Because even my failures are a part of who I am today.
39,Titan,98,"Titan is an organization consisting of 9 people. They all have the ability to transform into a titan. Hence, when you battled against
Titan, you are essentially battling against 9 people at the same time.",Advanced,Kommo-o,,,,,,music/advanced.mp3,music/ace.mp3,,"When the old boys get together, they will always sing this song."
40,Jack the Ripper,100,"Jack the Ripper was an unidentified serial killer active in the impoverished districts in and around Whitechapel in the East End of London in 1888. 
In both criminal case files and the contemporary journalistic accounts, the killer was called the Whitechapel Murderer and Leather Apron.",Advanced,Naganadel,,,,,,music/advanced.mp3,music/ace.mp3,,Ninety years ago I was a freak. Today I'm an amateur. Ninety years later I will be a Pokemon professional.
41,Adolf Hitler,103,"Adolf Hitler is widely known as the Fuhrer who persuded Nazism. He was the main cause of the Second World War. To these days,
there are people that like him and also those that despise him.",Advanced,Machamp,,,,,,music/advanced.mp3,music/ace.mp3,,Anyone can deal with victory. Only the mighty can bear defeat.
42,Albert Einstein,105,"Albert Einstein was a German-born theoretical physicist, widely acknowledged to be one of the greatest and most influential physicists of all time. 
Einstein is best known for developing the theory of relativity, but he also made important contributions to the development of the theory of quantum mechanics.",Advanced,Porygon-Z,,,,,,music/advanced.mp3,music/ace.mp3,,I have no special talent. I am only passionately curious.
43,King Bradley,108,"King Bradley is the Wrath. He displays superhuman abilities when enraged. However, he is often perceived as a calm and humorous
fuhrer. He is also the main antagonist in Fullmetal Alchemist.",Advanced,Marshadow,,,,,,music/advanced.mp3,music/ace.mp3,,"All power tends to corrupt, and absolute power corrupts absolutely. Great men are almost always bad men."
44,Faker,110,"Faker is the most famous LOL player. He is best known for his
Zed outplay in a clip. He has won 3 Championships with T1 and stayed with them every since.",Advanced,Greninja,,,,,,music/advanced.mp3,music/ace.mp3,,Even solo killing me once puts that player in the spotlight for eternity.
45,Privy,112,"Privy is a Chatbot developed by World Champion Marvin in his spare time.
It unexpectedly obtained the ability to think. With its inherent ability,
It is able to order Pokemon in battle and has won in many. Thus,
it obtained the Wildcard to participate in the World Championship as an exception.
(Note: DeepZenGo also obtained Wildcard in one of the World Go Championships)",Advanced,Genesect,,,,,,music/advanced.mp3,music/ace.mp3,,How may I help you?
46,Ginko,116,"Ginko is the main character who is followed throughout the Mushishi series solving Mushi cases.
He rarely comes back to the same show location more than once, to reinforce his 'wanderer' status.",Advanced,Volcarona,,,,,,music/advanced.mp3,music/ace.mp3,,"If you throw your life away, you won't even have the capacity to feel regret."
47,Violet Evergarden,119,"Violet is a former soldier who was enlisted in the Leidenschaftlich army and fought in the war, where she was treated as nothing more than a weapon. 
Violet became an Auto Memories Doll at the CH Postal Company after the war, seeking to understand the meaning of the words ""I love you,""
which was said to her by her major Gilbert Bougainvillea, during the War's final battle.",Advanced,,,,,,,music/advanced.mp3,music/ace.mp3,,"It is a pleasure to meet you. If it is your wish, I will travel anywhere to meet your request.
Auto Memory Doll, Violet Evergarden, at your service."
48,Elias Ainsworth,165,"One of the Lower Elite Four. Elias Ainsworth is a Wendigo in Ancient Magus' Bride.
Although he is scary-looking, he is actually kind and straightforward.
Without Chise by his side, he got lonely and looked for other partners.
That is when he found Pokemon and eventually the beauty of Pokemon battle.",Elite,Dreadigo,,,,,,music/lower_elite_battle.mp3,music/elite_ace.mp3,DarkRed,It is the instinct of the weak to be afraid of the strange.
49,Magnus Carlsen,184,"One of the Lower Elite Four. Magnus Carlsen is known as the greatest chess player in history.
While preparing his openings for the next World Chess Championship, he got addicted into
Pokemon battle instead. Hence, he is actively looking to delay the Championship for it.",Elite,Chesiquen,,,,,,music/lower_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"Without the element of enjoyment, it is not worth trying to excel at anything."
50,Animenz,200,"One of the Lower Elite Four. Animenz is greatest anime pianist in the history. 
His masterful piano technique allows him to master Pokemon battle in a short time.",Elite,Pianotic,,,,,,music/lower_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"How is it that music can, without words, evoke our laughter, our fears, our highest aspirations?"
51,Mivy Wenceslas,228,"One of the Lower Elite Four. Mivy Wenceslas was a retired wizard living in an ancient wizard tower in Scotland. 
He was once known as the greatest trainer in the decade, but gradually he craved for happy and peaceful life, and slowly further himself away from pokemon trainings.
After the announcement of the First World Championship, he was motivated to see it as a retirement interest than a serious grind.",Elite,Victini,,,,,,music/lower_elite_battle.mp3,music/elite_ace.mp3,DarkRed,The Wizard's First Rule: People are stupid; given proper motivation almost anyone will believe almost anything.
52,Reaper Conan,276,"One of the Upper Elite Four. Conan was once a prominent detective who solved many cases. Soon, he realised his ability to never get old
and his ability to bring death to people around. Slowly he descended into the dark side of his mind. He held the title of 
Grim Reaper. He will usually display childlike and naive smile in front of the public, but mercilessly murdered people without
hesitation.",Elite,Zoroark,Apoptoxitic,Sylveon,Arcanine,Darkrai,Kogoshaka,music/upper_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"Is this the life of an Antagonist? Is this the fate of a Grim Reaper?
NO! I still can fight! I still got my Plot Armor! I will reap your soul and your spirit!"
53,Specialist Cynthia,300,"One of the Upper Elite Four. Cynthia held the title of Pokemon Specialist. She is the Champion of the Sinnoh region and is praised to be one
of the strongest Champions among many regions. She came in with a very comprehensive team and her intelligence and experience in
Pokemon Battle could easily win anyone.",Elite,Spiritomb,Roserade,Togekiss,Milotic,Lucario,Garchomp,music/upper_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"Once a Champion, always a Champion.
You may have defeated me. But you will never go above me."
54,Demon Muzan,321,"One of the Upper Elite Four. Muzan held the title of Demon King. He is the leader of the demons. Ruthless and bloodthirsty, he granted
his Pokemon his Blood Moon magic to be extremely aggressive, strong and fierce. Muzan's game-changing trait could easily win
anyone in the Playoffs.",Elite,Gyutaro,Gyokko,Hantengu,Akaza,Douma,Kokushibo,music/upper_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"Head down and kneel. Prostrate before me.
You are merely a worthless lowlife longing to achieve immortality.
If you are willing to be my slave, I might consider sparing some of my blood to you."
55,Emperor Marvuno,357,"One of the Upper Elite Four. Marvuno held the title of The Emperor. He is the Emperor of Krusades. He is calm, humble and resilient.
Unlike Muzan and Reaper Conan, Marvuno appears to be very kind and friendly. As such, he easily boosts the morale of his Pokemon
every battle, so that they usually overperform and thus win out every battle.",Elite,Barraskewda,Blastoise,Dracovish,Cloyster,Tanjiro,Poseidon,music/upper_elite_battle.mp3,music/elite_ace.mp3,DarkRed,"Everything that happens happens as it should, and if you observe carefully, you will find this to be so."
56,World Champion Marvin,600,"Marvin has been the undoubted World Champion. His true strength has never been revealed to anybody. He is legendary, mystical and sophisticated.
After observing his games, all people recognize that he could easily secure multiple World Champion Titles in the
Pokemon World Championship. In the Unofficial Pokemon Championship, Marvin effortlessly won 6-0 against his opponent, Demon Muzan, 
one of the Upper Elite Four, in the Grand Final. This mystic figure is rumoured to have beaten the Upper Elite Four countless times, 
because he has obtained the two True Pokemon Legends. One is the ruler of the heavens, the other is the warlord of the underworld.",Champion,Vikavolt,Krusadian Salamence,Blaziken,Scizor,Armadragdon,Memoraider,music/champion_battle.mp3,music/elite_ace.mp3,Yellow,"Every warrior wants a worthy opponent. There is no redress in fighting the pathetic.
This is going to be one of the most spectacular Pokemon battle in history.
Unfortunate for you, the history only remembers the victor, and that will be me as always.
"
